Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1668253480,2022-11-12T11:44:40Z,IGO2212,"28.557587,77.08989",0,0,98
1668253504,2022-11-12T11:45:04Z,IGO2212,"28.557621,77.089676",0,2,95
1668253522,2022-11-12T11:45:22Z,IGO2212,"28.557646,77.089462",0,2,84
1668253540,2022-11-12T11:45:40Z,IGO2212,"28.557621,77.089256",0,2,81
1668253600,2022-11-12T11:46:40Z,IGO2212,"28.557827,77.089348",0,2,25
1668253621,2022-11-12T11:47:01Z,IGO2212,"28.558033,77.089363",0,2,5
1668253640,2022-11-12T11:47:20Z,IGO2212,"28.558239,77.089401",0,2,8
1668253966,2022-11-12T11:52:46Z,IGO2212,"28.558456,77.089439",0,2,8
1668253982,2022-11-12T11:53:02Z,IGO2212,"28.558681,77.089493",0,4,8
1668253990,2022-11-12T11:53:10Z,IGO2212,"28.558901,77.089531",0,7,8
1668253996,2022-11-12T11:53:16Z,IGO2212,"28.55912,77.089561",0,8,8
1668254002,2022-11-12T11:53:22Z,IGO2212,"28.559391,77.089607",0,10,8
1668254008,2022-11-12T11:53:28Z,IGO2212,"28.559658,77.089668",0,10,8
1668254014,2022-11-12T11:53:34Z,IGO2212,"28.559925,77.089706",0,11,8
1668254020,2022-11-12T11:53:40Z,IGO2212,"28.560274,77.089775",0,11,8
1668254026,2022-11-12T11:53:46Z,IGO2212,"28.560596,77.089836",0,12,8
1668254032,2022-11-12T11:53:52Z,IGO2212,"28.560917,77.08989",0,11,8
1668254038,2022-11-12T11:53:58Z,IGO2212,"28.561146,77.089981",0,9,25
1668254043,2022-11-12T11:54:03Z,IGO2212,"28.561272,77.090195",0,10,56
1668254047,2022-11-12T11:54:07Z,IGO2212,"28.561295,77.090401",0,10,81
1668254052,2022-11-12T11:54:12Z,IGO2212,"28.561253,77.090622",0,10,98
1668254056,2022-11-12T11:54:16Z,IGO2212,"28.561195,77.090851",0,10,104
1668254061,2022-11-12T11:54:21Z,IGO2212,"28.561123,77.091133",0,10,104
1668254066,2022-11-12T11:54:26Z,IGO2212,"28.561066,77.091385",0,10,104
1668254072,2022-11-12T11:54:32Z,IGO2212,"28.560997,77.091675",0,10,106
1668254078,2022-11-12T11:54:38Z,IGO2212,"28.560928,77.091988",0,10,104
1668254084,2022-11-12T11:54:44Z,IGO2212,"28.560858,77.092316",0,11,106
1668254090,2022-11-12T11:54:50Z,IGO2212,"28.560768,77.092636",0,12,106
1668254096,2022-11-12T11:54:56Z,IGO2212,"28.560688,77.093056",0,13,104
1668254102,2022-11-12T11:55:02Z,IGO2212,"28.560596,77.093491",0,14,104
1668254108,2022-11-12T11:55:08Z,IGO2212,"28.560482,77.093971",0,15,104
1668254114,2022-11-12T11:55:14Z,IGO2212,"28.560368,77.094475",0,16,104
1668254120,2022-11-12T11:55:20Z,IGO2212,"28.560251,77.095009",0,17,104
1668254126,2022-11-12T11:55:26Z,IGO2212,"28.560123,77.09552",0,16,104
1668254132,2022-11-12T11:55:32Z,IGO2212,"28.560013,77.096031",0,16,104
1668254139,2022-11-12T11:55:39Z,IGO2212,"28.559898,77.096535",0,15,104
1668254144,2022-11-12T11:55:44Z,IGO2212,"28.559797,77.096985",0,15,104
1668254151,2022-11-12T11:55:51Z,IGO2212,"28.559681,77.097488",0,15,104
1668254157,2022-11-12T11:55:57Z,IGO2212,"28.559565,77.097969",0,15,104
1668254162,2022-11-12T11:56:02Z,IGO2212,"28.559452,77.098419",0,15,104
1668254168,2022-11-12T11:56:08Z,IGO2212,"28.559349,77.098885",0,15,104
1668254175,2022-11-12T11:56:15Z,IGO2212,"28.559252,77.099358",0,15,104
1668254181,2022-11-12T11:56:21Z,IGO2212,"28.559143,77.099823",0,15,104
1668254187,2022-11-12T11:56:27Z,IGO2212,"28.55904,77.100281",0,15,104
1668254193,2022-11-12T11:56:33Z,IGO2212,"28.558926,77.100784",0,15,104
1668254199,2022-11-12T11:56:39Z,IGO2212,"28.558811,77.101273",0,15,104
1668254205,2022-11-12T11:56:45Z,IGO2212,"28.558685,77.101746",0,16,104
1668254211,2022-11-12T11:56:51Z,IGO2212,"28.558582,77.102249",0,16,104
1668254217,2022-11-12T11:56:57Z,IGO2212,"28.558483,77.102654",0,13,104
1668254223,2022-11-12T11:57:03Z,IGO2212,"28.558399,77.103012",0,11,104
1668254228,2022-11-12T11:57:08Z,IGO2212,"28.558401,77.103249",0,8,84
1668254236,2022-11-12T11:57:16Z,IGO2212,"28.55864,77.103462",0,8,33
1668254243,2022-11-12T11:57:23Z,IGO2212,"28.558889,77.103546",0,8,16
1668254249,2022-11-12T11:57:29Z,IGO2212,"28.559109,77.103622",0,8,16
1668254255,2022-11-12T11:57:35Z,IGO2212,"28.559332,77.103683",0,8,14
1668254260,2022-11-12T11:57:40Z,IGO2212,"28.559544,77.103745",0,9,14
1668254266,2022-11-12T11:57:46Z,IGO2212,"28.559797,77.103813",0,10,14
1668254272,2022-11-12T11:57:52Z,IGO2212,"28.560066,77.103897",0,11,14
1668254278,2022-11-12T11:57:58Z,IGO2212,"28.560425,77.104004",0,11,14
1668254284,2022-11-12T11:58:04Z,IGO2212,"28.560699,77.104088",0,10,19
1668254289,2022-11-12T11:58:09Z,IGO2212,"28.560858,77.10434",0,10,59
1668254295,2022-11-12T11:58:15Z,IGO2212,"28.560833,77.104637",0,10,95
1668254300,2022-11-12T11:58:20Z,IGO2212,"28.560768,77.104889",0,9,104
1668254305,2022-11-12T11:58:25Z,IGO2212,"28.560722,77.105118",0,9,104
1668254310,2022-11-12T11:58:30Z,IGO2212,"28.560671,77.105324",0,9,104
1668254314,2022-11-12T11:58:34Z,IGO2212,"28.560631,77.105537",0,9,104
1668254319,2022-11-12T11:58:39Z,IGO2212,"28.560574,77.105759",0,9,104
1668254325,2022-11-12T11:58:45Z,IGO2212,"28.560509,77.106033",0,9,106
1668254331,2022-11-12T11:58:51Z,IGO2212,"28.560436,77.106331",0,10,104
1668254337,2022-11-12T11:58:57Z,IGO2212,"28.560368,77.106667",0,11,104
1668254343,2022-11-12T11:59:03Z,IGO2212,"28.560287,77.107018",0,12,104
1668254349,2022-11-12T11:59:09Z,IGO2212,"28.560184,77.107422",0,13,104
1668254357,2022-11-12T11:59:17Z,IGO2212,"28.560059,77.107964",0,15,104
1668254363,2022-11-12T11:59:23Z,IGO2212,"28.559961,77.108429",0,16,104
1668254369,2022-11-12T11:59:29Z,IGO2212,"28.559822,77.109024",0,17,104
1668254376,2022-11-12T11:59:36Z,IGO2212,"28.559681,77.109642",0,17,104
1668254383,2022-11-12T11:59:43Z,IGO2212,"28.559553,77.110199",0,16,104
1668254388,2022-11-12T11:59:48Z,IGO2212,"28.559464,77.110542",0,11,106
1668254394,2022-11-12T11:59:54Z,IGO2212,"28.559309,77.110748",0,9,135
1668254399,2022-11-12T11:59:59Z,IGO2212,"28.559086,77.110779",0,9,171
1668254404,2022-11-12T12:00:04Z,IGO2212,"28.55888,77.110741",0,9,185
1668254409,2022-11-12T12:00:09Z,IGO2212,"28.558662,77.110817",0,10,160
1668254414,2022-11-12T12:00:14Z,IGO2212,"28.558517,77.111046",0,10,126
1668254420,2022-11-12T12:00:20Z,IGO2212,"28.558434,77.111336",0,11,106
1668254424,2022-11-12T12:00:24Z,IGO2212,"28.55839,77.111572",0,12,104
1668254428,2022-11-12T12:00:28Z,IGO2212,"28.558319,77.111832",0,12,104
1668254433,2022-11-12T12:00:33Z,IGO2212,"28.558262,77.112122",0,11,104
1668254436,2022-11-12T12:00:36Z,IGO2212,"28.558216,77.112335",0,11,104
1668254442,2022-11-12T12:00:42Z,IGO2212,"28.558136,77.112671",0,11,104
1668254448,2022-11-12T12:00:48Z,IGO2212,"28.558064,77.112968",0,10,104
1668254455,2022-11-12T12:00:55Z,IGO2212,"28.557987,77.113289",0,10,104
1668254461,2022-11-12T12:01:01Z,IGO2212,"28.557924,77.113579",0,9,104
1668254467,2022-11-12T12:01:07Z,IGO2212,"28.557854,77.113861",0,10,104
1668254473,2022-11-12T12:01:13Z,IGO2212,"28.557774,77.114212",0,12,104
1668254479,2022-11-12T12:01:19Z,IGO2212,"28.55768,77.114609",0,13,104
1668254485,2022-11-12T12:01:25Z,IGO2212,"28.557575,77.115059",0,15,104
1668254491,2022-11-12T12:01:31Z,IGO2212,"28.557472,77.115532",0,16,104
1668254497,2022-11-12T12:01:37Z,IGO2212,"28.557343,77.116051",0,17,106
1668254502,2022-11-12T12:01:42Z,IGO2212,"28.557232,77.116547",0,18,104
1668254509,2022-11-12T12:01:49Z,IGO2212,"28.557087,77.117195",0,18,104
1668254515,2022-11-12T12:01:55Z,IGO2212,"28.556959,77.117737",0,18,104
1668254520,2022-11-12T12:02:00Z,IGO2212,"28.556854,77.118195",0,17,104
1668254527,2022-11-12T12:02:07Z,IGO2212,"28.556738,77.118706",0,14,104
1668254532,2022-11-12T12:02:12Z,IGO2212,"28.55669,77.118973",0,9,98
1668254537,2022-11-12T12:02:17Z,IGO2212,"28.556749,77.119179",0,8,73
1668254543,2022-11-12T12:02:23Z,IGO2212,"28.556959,77.119354",0,9,33
1668254550,2022-11-12T12:02:30Z,IGO2212,"28.557186,77.119453",0,8,25
1668254558,2022-11-12T12:02:38Z,IGO2212,"28.55732,77.119759",0,7,70
1668254564,2022-11-12T12:02:44Z,IGO2212,"28.557295,77.119987",0,7,92
1668254570,2022-11-12T12:02:50Z,IGO2212,"28.557243,77.120209",0,8,104
1668254576,2022-11-12T12:02:56Z,IGO2212,"28.557186,77.120461",0,8,104
1668254582,2022-11-12T12:03:02Z,IGO2212,"28.557121,77.120712",0,9,104
1668254589,2022-11-12T12:03:09Z,IGO2212,"28.557049,77.121063",0,9,104
1668254594,2022-11-12T12:03:14Z,IGO2212,"28.55698,77.1213",0,10,104
1668254600,2022-11-12T12:03:20Z,IGO2212,"28.556934,77.12162",0,10,95
1668254605,2022-11-12T12:03:25Z,IGO2212,"28.557028,77.121857",0,9,64
1668254617,2022-11-12T12:03:37Z,IGO2212,"28.557564,77.122124",0,11,16
1668254621,2022-11-12T12:03:41Z,IGO2212,"28.557785,77.122192",0,12,14
1668254626,2022-11-12T12:03:46Z,IGO2212,"28.558018,77.122261",0,12,14
1668254631,2022-11-12T12:03:51Z,IGO2212,"28.558273,77.122337",0,9,14
1668254639,2022-11-12T12:03:59Z,IGO2212,"28.558582,77.122292",0,8,343
1668254646,2022-11-12T12:04:06Z,IGO2212,"28.558685,77.12204",0,8,298
1668254664,2022-11-12T12:04:24Z,IGO2212,"28.556946,77.121521",0,0,289
1668254720,2022-11-12T12:05:20Z,IGO2212,"28.55875,77.12188",0,0,289
1668254742,2022-11-12T12:05:42Z,IGO2212,"28.559097,77.120392",0,41,284
1668254744,2022-11-12T12:05:44Z,IGO2212,"28.559193,77.120026",0,45,284
1668254747,2022-11-12T12:05:47Z,IGO2212,"28.559464,77.118805",0,64,284
1668254749,2022-11-12T12:05:49Z,IGO2212,"28.559601,77.11821",0,72,284
1668254750,2022-11-12T12:05:50Z,IGO2212,"28.559761,77.117569",0,76,284
1668254757,2022-11-12T12:05:57Z,IGO2212,"28.56045,77.114601",725,98,285
1668254763,2022-11-12T12:06:03Z,IGO2212,"28.561295,77.110817",725,124,284
1668254769,2022-11-12T12:06:09Z,IGO2212,"28.562311,77.106361",725,144,284
1668254775,2022-11-12T12:06:15Z,IGO2212,"28.5634,77.10173",700,164,285
1668254781,2022-11-12T12:06:21Z,IGO2212,"28.564686,77.096451",925,166,285
1668254787,2022-11-12T12:06:27Z,IGO2212,"28.56601,77.091064",1150,162,285
1668254793,2022-11-12T12:06:33Z,IGO2212,"28.567245,77.086044",1400,161,285
1668254801,2022-11-12T12:06:41Z,IGO2212,"28.568735,77.079811",1725,159,284
1668254808,2022-11-12T12:06:48Z,IGO2212,"28.569946,77.074638",1950,160,285
1668254814,2022-11-12T12:06:54Z,IGO2212,"28.571157,77.069466",2075,166,284
1668254820,2022-11-12T12:07:00Z,IGO2212,"28.572554,77.063599",2200,176,284
1668254824,2022-11-12T12:07:04Z,IGO2212,"28.573345,77.060204",2275,179,284
